item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
229,SI,VIGENTE,TRÁNSITO RESTRINGIDO,26/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAHUAMANU/IBERIA,KM 599,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.387603,-69.492197,-11.387603+-69.492197,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
229,SI,VIGENTE,TRÁNSITO RESTRINGIDO,14/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAHUAMANU/TAHUAMANU,KM 549,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.665167,-69.229412,-11.665167+-69.229412,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
243,SI,VIGENTE,TRÁNSITO RESTRINGIDO,06/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 511+800,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.931332,-69.11748,-11.931332+-69.11748,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
242,SI,VIGENTE,TRÁNSITO RESTRINGIDO,14/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 489,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.1334806,-69.1199462,-12.1334806+-69.1199462,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
240,SI,VIGENTE,TRÁNSITO RESTRINGIDO,16/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 469+320,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.2966504,-69.1674238,-12.2966504+-69.1674238,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
150,SI,VIGENTE,TRÁNSITO RESTRINGIDO,11/01/2023,26/01/2023 15:30 HORAS,CUSCO/LA CONVENCION/SANTA ANA,KM 199,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.873069617394,-72.692213162262,-12.873069617394+-72.692213162262,2023 15:30 HORAS+01+26+15:30,0,0,COE-MTC,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
151,SI,VIGENTE,TRÁNSITO RESTRINGIDO,07/01/2023,26/01/2023 15:30 HORAS,CUSCO/LA CONVENCION/SANTA ANA,KM 230,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.880884243624,-72.690784623809,-12.880884243624+-72.690784623809,2023 15:30 HORAS+01+26+15:30,0,1,COE-MTC,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
166,SI,VIGENTE,TRÁNSITO RESTRINGIDO,19/01/2023,26/01/2023 15:30 HORAS,CUSCO/URUBAMBA/MARAS,KM 44,PUENTE URUBAMBA. PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.312531099811,-72.117755850561,-13.312531099811+-72.117755850561,2023 15:30 HORAS+01+26+15:30,0,0,COE-MTC,HUMANO,PE-28F,CARRETERA POROY - CHINCHERO - URUBAMBA,SI,restringido
141,SI,VIGENTE,TRÁNSITO RESTRINGIDO,10/01/2023,26/01/2023 15:30 HORAS,CUSCO/ESPINAR/ESPINAR,KM 245,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.794379646982,-71.409019289269,-14.794379646982+-71.409019289269,2023 15:30 HORAS+01+26+15:30,0,0,COE-MTC,HUMANO,PE-3SG,CARRETERA CHALHUAHUACHO - ESPINAR - AYAVIRI,SI,restringido
74,SI,VIGENTE,TRÁNSITO RESTRINGIDO,23/01/2023,26/01/2023 15:30 HORAS,AREQUIPA/AREQUIPA/YURA,KM 51,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-16.2946789,-71.6313608,-16.2946789+-71.6313608,2023 15:30 HORAS+01+26+15:30,0,1,UD AREQUIPA,HUMANO,PE-34A,CARRETERA REPARTICION AREQUIPA - SANTA LUCIA - JULIACA,SI,restringido
184,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,26/01/2023,26/01/2023 15:30 HORAS,HUANUCO/AMBO/AMBO,KM 212,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-10.124901,-76.205224,-10.124901+-76.205224,2023 15:30 HORAS+01+26+15:30,0,0,UD HUANUCO,HUMANO,PE-3N,LONGITUDINAL DE LA SIERRA NORTE,SI,interrumpido
231,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,24/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAHUAMANU/IÑAPARI,KM 653+320,(PUENTE YAVERIJA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-10.96864,-69.567633,-10.96864+-69.567633,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
228,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAHUAMANU/IBERIA,KM 597,(SECTOR IBERIA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.4068843,-69.4784365,-11.4068843+-69.4784365,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
205,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,26/01/2023,26/01/2023 15:30 HORAS,JUNIN/YAULI/MOROCOCHA,KM 144,"PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO  (PRODUCTO DEL BLOQUEO DE VIA, LA CONGESTION VEHICULAR ES HASTA KM. 129)",-11.5981667,-76.0995638,-11.5981667+-76.0995638,2023 15:30 HORAS+01+26+15:30,50,36,CEOPOL,HUMANO,PE-22,CARRETERA CENTRAL,SI,interrumpido
245,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,16/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/TAMBOPATA,KM 425-426,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.5905762,-69.2221768,-12.5905762+-69.2221768,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
237,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,23/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+900,GRUPO DE PERSONAS  PROTESTAN SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.759719,-69.561868,-12.759719+-69.561868,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
236,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+200,(SECTOR LABERINTO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.7637802,-69.5700566,-12.7637802+-69.5700566,2023 15:30 HORAS+01+26+15:30,2,4,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
235,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,22/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 347,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.892215,-69.8382055,-12.892215+-69.8382055,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
234,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,22/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 316,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.9015914,-70.0846561,-12.9015914+-70.0846561,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
233,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 303,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.914703,-70.1976939,-12.914703+-70.1976939,2023 15:30 HORAS+01+26+15:30,2,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
232,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 288-289,(SECTOR SANTA ROSA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.932413,-70.303984,-12.932413+-70.303984,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
230,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,26/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 260,(SECTOR MAZUCO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1063789,-70.3651616,-13.1063789+-70.3651616,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
264,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,26/01/2023 15:30 HORAS,PUNO/CARABAYA/AYAPATA,KM 248,(SECTOR LOROMAYO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1550229,-70.39724,-13.1550229+-70.39724,2023 15:30 HORAS+01+26+15:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
265,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,17/01/2023,26/01/2023 15:30 HORAS,PUNO/CARABAYA/AYAPATA,KM 352+800,GRUPO DE PERSONAS  PROTESTAN SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1876565,-70.3837431,-13.1876565+-70.3837431,2023 15:30 HORAS+01+26+15:30,0,0,CEOPOL,HUMANO,PE-34B,CARRETERA INTEROCEANICA SAN GABAN,SI,interrumpido
