item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
145,SI,VIGENTE,TRÁNSITO RESTRINGIDO,11/01/2023,24/01/2023 08:00 HORAS,CUSCO/LA CONVENCION/SANTA ANA,KM 199,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.873069617394,-72.692213162262,-12.873069617394+-72.692213162262,2023 08:00 HORAS+01+24+08:00,0,0,COE-MTC,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
146,SI,VIGENTE,TRÁNSITO RESTRINGIDO,07/01/2023,24/01/2023 08:00 HORAS,CUSCO/LA CONVENCION/SANTA ANA,KM 230,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.880884243624,-72.690784623809,-12.880884243624+-72.690784623809,2023 08:00 HORAS+01+24+08:00,0,1,COE-MTC,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
159,SI,VIGENTE,TRÁNSITO RESTRINGIDO,19/01/2023,24/01/2023 08:00 HORAS,CUSCO/URUBAMBA/MARAS,KM 44,PUENTE URUBAMBA. PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.312531099811,-72.117755850561,-13.312531099811+-72.117755850561,2023 08:00 HORAS+01+24+08:00,0,0,COE-MTC,HUMANO,PE-28F,CARRETERA POROY - CHINCHERO - URUBAMBA,SI,restringido
217,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,24/01/2023 08:00 HORAS,MADRE DE DIOS/TAHUAMANU/IBERIA,KM 597,(SECTOR IBERIA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.4068843,-69.4784365,-11.4068843+-69.4784365,2023 08:00 HORAS+01+24+08:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
228,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,24/01/2023 08:00 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 511+800,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.931332,-69.11748,-11.931332+-69.11748,2023 08:00 HORAS+01+24+08:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
230,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,23/01/2023,24/01/2023 08:00 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 471,(SECTOR PLANCHON)  PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.2828444,-69.1554046,-12.2828444+-69.1554046,2023 08:00 HORAS+01+24+08:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
224,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,23/01/2023,24/01/2023 08:00 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+900,(SECTOR LABERINTO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.759719,-69.561868,-12.759719+-69.561868,2023 08:00 HORAS+01+24+08:00,0,0,CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
223,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,24/01/2023 08:00 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+200,(SECTOR LABERINTO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.7637802,-69.5700566,-12.7637802+-69.5700566,2023 08:00 HORAS+01+24+08:00,2,4,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
219,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,24/01/2023 08:00 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 288,(SECTOR SANTA ROSA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.932413,-70.303984,-12.932413+-70.303984,2023 08:00 HORAS+01+24+08:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
221,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,24/01/2023 08:00 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 260,(SECTOR MAZUCO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1063789,-70.3651616,-13.1063789+-70.3651616,2023 08:00 HORAS+01+24+08:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
252,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,24/01/2023 08:00 HORAS,PUNO/CARABAYA/AYAPATA,KM 248,(SECTOR LOROMAYO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1550229,-70.39724,-13.1550229+-70.39724,2023 08:00 HORAS+01+24+08:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
