item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
58,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,07/02/2023  10:30 HORAS,APURIMAC/CHINCHEROS/CHINCHEROS,KM 543,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.51668418,-73.7268014,-13.51668418+-73.7268014,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
31,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,31/01/2023,07/02/2023  10:30 HORAS,APURIMAC/ANDAHUAYLAS/ANDAHUAYLAS,KM 631,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.653525,-73.461364,-13.653525+-73.461364,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
20,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,07/02/2023,07/02/2023  10:30 HORAS,APURIMAC/ABANCAY/PICHIRHUA,KM 765,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.68223922,-72.95762268,-13.68223922+-72.95762268,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
41,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,07/01/2023,07/02/2023  10:30 HORAS,APURIMAC/ANDAHUAYLAS/KISHUARA,KM 689,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.7014497,-73.1694762,-13.7014497+-73.1694762,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
143,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/CHECACUPE,KM 1060+300,(PUENTE CHUQUICAHUANA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.981354,-71.488518,-13.981354+-71.488518,2023  10:30 HORAS+02+07+,0,2,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
144,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/CHECACUPE,KM 1068,(SECTOR CHECACUPE) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.029308830546,-71.4542260317,-14.029308830546+-71.4542260317,2023  10:30 HORAS+02+07+,0,2,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
305,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,07/02/2023  10:30 HORAS,PUNO/CARABAYA/MACUSANI,KM 180,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.0751132,-70.4104037,-14.0751132+-70.4104037,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
146,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/COMBAPATA,KM 1076+500,(PUENTE COMBAPATA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.09266472,-71.44118107,-14.09266472+-71.44118107,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
156,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/TINTA,KM 1083+600,(SECTOR TINTA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.141501,-71.401473,-14.141501+-71.401473,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
152,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,05/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/SAN PEDRO,KM 1089+500,(SECTOR SAN JOSE) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.178754,-71.370268,-14.178754+-71.370268,2023  10:30 HORAS+02+07+,0,2,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
153,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,05/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/SAN PEDRO,KM 1092,(SECTOR SAN PEDRO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.1866,-71.346003,-14.1866+-71.346003,2023  10:30 HORAS+02+07+,0,1,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
154,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,31/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/SICUANI,KM 1102,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.23650746,-71.27037805,-14.23650746+-71.27037805,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
155,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/SICUANI,KM 1112,(PUENTE ARTURO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.2899364,-71.22169062,-14.2899364+-71.22169062,2023  10:30 HORAS+02+07+,0,2,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
147,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/MARANGANI,KM 1117,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.32725797,-71.19656118,-14.32725797+-71.19656118,2023  10:30 HORAS+02+07+,0,3,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
150,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/MARANGANI,KM 1125,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.37745309,-71.14440842,-14.37745309+-71.14440842,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
151,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,CUSCO/CANCHIS/MARANGANI,KM 1134,(SECTOR OCCOBAMBA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.43598487,-71.10007918,-14.43598487+-71.10007918,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
300,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,05/01/2023,07/02/2023  10:30 HORAS,PUNO/AZANGARO/ASILLO,KM 99+500,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.580414,-70.329011,-14.580414+-70.329011,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
336,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,12/01/2023,07/02/2023  10:30 HORAS,PUNO/MELGAR/SANTA ROSA,KM 1178,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.61293047,-70.77747438,-14.61293047+-70.77747438,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
299,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,PUNO/AZANGARO/ASILLO,KM 71,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.7665132,-70.3099449,-14.7665132+-70.3099449,2023  10:30 HORAS+02+07+,0,1,CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
298,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,17/01/2023,07/02/2023  10:30 HORAS,PUNO/AZANGARO/ASILLO,KM 29+100,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.831021,-70.373558,-14.831021+-70.373558,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3SH,CARRETERA TIRAPATA - ASILLO,SI,interrumpido
334,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,PUNO/MELGAR/AYAVIRI,KM 1216,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.87225595,-70.60898669,-14.87225595+-70.60898669,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
331,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,07/02/2023  10:30 HORAS,PUNO/LAMPA/PUCARA,KM 1251,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.04683526,-70.36483314,-15.04683526+-70.36483314,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
148,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,07/02/2023,07/02/2023  10:30 HORAS,CUSCO/ESPINAR/OCORURO,KM 90,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.080109,-71.118772,-15.080109+-71.118772,2023  10:30 HORAS+02+07+,0,0,CEOPOL,HUMANO,PE-34J,VIA IMATA - NEGRO MAYO - HECTOR TEJADA,SI,interrumpido
