item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
26,SI,VIGENTE,TRÁNSITO RESTRINGIDO,11/12/2022,22/01/2023 21:00 HORAS,APURIMAC/ABANCAY/PICHIRHUA,KM 415+500,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.89561,-73.04456,-13.89561+-73.04456,2023 21:00 HORAS+01+22+21:00,0,0,CONCESIONARIA SURVIAL,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
54,SI,VIGENTE,TRÁNSITO RESTRINGIDO,11/01/2023,22/01/2023 21:00 HORAS,APURIMAC/COTABAMBAS/TAMBOBAMBA,KM 255,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.94967171,-72.1797879,-13.94967171+-72.1797879,2023 21:00 HORAS+01+22+21:00,0,0,COE-MTC,HUMANO,PE-3SF,CARRETERA ABANCAY - CHALHUAHUACHO - CHINCHAYPUJIO,SI,restringido
218,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,22/01/2023 21:00 HORAS,MADRE DE DIOS/TAHUAMANU/IBERIA,KM 597,(SECTOR IBERIA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.4068843,-69.4784365,-11.4068843+-69.4784365,2023 21:00 HORAS+01+22+21:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
219,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,14/01/2023,22/01/2023 21:00 HORAS,MADRE DE DIOS/TAHUAMANU/TAHUAMANU,KM 549,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.665167,-69.229412,-11.665167+-69.229412,2023 21:00 HORAS+01+22+21:00,0,0,IIRSA SUR / UD MADRE DE DIOS,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
229,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,22/01/2023 21:00 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 511+800,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.931332,-69.11748,-11.931332+-69.11748,2023 21:00 HORAS+01+22+21:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
231,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,21/01/2023,22/01/2023 21:00 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,471,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.2828444,-69.1554046,-12.2828444+-69.1554046,2023 21:00 HORAS+01+22+21:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
232,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,08/01/2023,22/01/2023 21:00 HORAS,MADRE DE DIOS/TAMBOPATA/TAMBOPATA,KM 402,(SAN BERNARDO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.6898325,-69.4042951,-12.6898325+-69.4042951,2023 21:00 HORAS+01+22+21:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,22/01/2023,22/01/2023 21:00 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,347,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.892215,-69.8382055,-12.892215+-69.8382055,2023 21:00 HORAS+01+22+21:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,22/01/2023,22/01/2023 21:00 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,316,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.9015914,-70.0846561,-12.9015914+-70.0846561,2023 21:00 HORAS+01+22+21:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
220,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,22/01/2023 21:00 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 288,(SECTOR SANTA ROSA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.932413,-70.303984,-12.932413+-70.303984,2023 21:00 HORAS+01+22+21:00,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
