item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
203,SI,VIGENTE,TRÁNSITO RESTRINGIDO,08/01/2023,17/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/TAMBOPATA,KM 402 Y KM 409,(SECTOR SAN BERNARDO)   PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.6898325,-69.4042951,-12.6898325+-69.4042951,2023 15:30 HORAS+01+17+15:30,0,0,CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
128,SI,VIGENTE,TRÁNSITO RESTRINGIDO,06/01/2023,17/01/2023 15:30 HORAS,CUSCO/LA CONVENCION/MARANURA,KM 215,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.967832687702,-72.659684089566,-12.967832687702+-72.659684089566,2023 15:30 HORAS+01+17+15:30,0,0,DESPRCAR QUILLABAMBA,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
123,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,17/01/2023 15:30 HORAS,CUSCO/LA CONVENCION/HUAYOPATA,KM 195,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.999269918989,-72.546403533388,-12.999269918989+-72.546403533388,2023 15:30 HORAS+01+17+15:30,0,1,DESPRCAR QUILLABAMBA,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
124,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,17/01/2023 15:30 HORAS,CUSCO/LA CONVENCION/HUAYOPATA,KM 200,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.009372213976,-72.580577687622,-13.009372213976+-72.580577687622,2023 15:30 HORAS+01+17+15:30,0,1,DESPRCAR QUILLABAMBA,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
199,SI,VIGENTE,TRÁNSITO RESTRINGIDO,13/01/2023,17/01/2023 15:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 265,(PUENTE PUENTE DOS DE MAYO  PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.065658,-70.3524946,-13.065658+-70.3524946,2023 15:30 HORAS+01+17+15:30,0,0,CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
29,SI,VIGENTE,TRÁNSITO RESTRINGIDO,10/01/2023,17/01/2023 15:30 HORAS,APURIMAC/ANDAHUAYLAS/HUANCARAMA,KM 13+400,(SECTOR PICHUIPATA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.687597,-73.074162,-13.687597+-73.074162,2023 15:30 HORAS+01+17+15:30,0,0,COE-MTC / CEOPOL,HUMANO,PE-3SE,VIA KISHUARA - ALFAPATA,SI,restringido
37,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,17/01/2023 15:30 HORAS,APURIMAC/AYMARAES/CHALHUANCA,KM 341,GRUPO DE PERSONAS  PROTESTAN SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.30643,-73.21918,-14.30643+-73.21918,2023 15:30 HORAS+01+17+15:30,0,2,CEOPOL,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
40,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,17/01/2023 15:30 HORAS,APURIMAC/AYMARAES/COTARUSE,KM 327+100,GRUPO DE PERSONAS  PROTESTAN SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.38157,-73.176652,-14.38157+-73.176652,2023 15:30 HORAS+01+17+15:30,0,0,COMISARIA PNP COTARUSE,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
39,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,17/01/2023 15:30 HORAS,APURIMAC/AYMARAES/COTARUSE,KM 320+300,GRUPO DE PERSONAS  PROTESTAN SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.419511439657,-73.205184890346,-14.419511439657+-73.205184890346,2023 15:30 HORAS+01+17+15:30,1,2,CEOPOL,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
191,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,17/01/2023 15:30 HORAS,MADRE DE DIOS/TAHUAMANU/IBERIA,KM 597,(SECTOR IBERIA)  PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.4068843,-69.4784365,-11.4068843+-69.4784365,2023 15:30 HORAS+01+17+15:30,0,0,CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
