item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
216,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,31/01/2023,31/01/2023 17:30 HORAS,JUNIN/CHANCHAMAYO/PICHANAQUI,KM 69+200,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-10.92402,-74.877533,-10.92402+-74.877533,2023 17:30 HORAS+01+31+17:30,0,0,COE-MTC,HUMANO,PE-5S,LONGITUDINAL DE LA SELVA SUR,SI,interrumpido
259,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,31/01/2023 17:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 511+800,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.931332,-69.11748,-11.931332+-69.11748,2023 17:30 HORAS+01+31+17:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
257,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,30/01/2023,31/01/2023 17:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 471,(SECTOR PLANCHON)  PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.2828444,-69.1554046,-12.2828444+-69.1554046,2023 17:30 HORAS+01+31+17:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
252,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,31/01/2023 17:30 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+200,(SECTOR LABERINTO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.7637802,-69.5700566,-12.7637802+-69.5700566,2023 17:30 HORAS+01+31+17:30,2,4,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
248,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,31/01/2023 17:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 288-289,(SECTOR SANTA ROSA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.932413,-70.303984,-12.932413+-70.303984,2023 17:30 HORAS+01+31+17:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
249,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,31/01/2023,31/01/2023 17:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 259+500,(PUENTE AGUAS FRIAS) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1138086,-70.3723266,-13.1138086+-70.3723266,2023 17:30 HORAS+01+31+17:30,2,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
282,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,30/01/2023,31/01/2023 17:30 HORAS,PUNO/CARABAYA/AYAPATA,KM 253+900,(PUENTE CIGARRA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.140081,-70.386882,-13.140081+-70.386882,2023 17:30 HORAS+01+31+17:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
280,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,31/01/2023 17:30 HORAS,PUNO/CARABAYA/AYAPATA,KM 248+500,(SECTOR LOROMAYO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1550229,-70.39724,-13.1550229+-70.39724,2023 17:30 HORAS+01+31+17:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
281,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,17/01/2023,31/01/2023 17:30 HORAS,PUNO/CARABAYA/AYAPATA,KM 352+800,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1876565,-70.3837431,-13.1876565+-70.3837431,2023 17:30 HORAS+01+31+17:30,0,0,CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
168,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,31/01/2023,31/01/2023 17:30 HORAS,CUSCO/QUISPICANCHI/CAMANTI,KM 223+500,(SECTOR SAN LORENZO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.204852,-70.535776,-13.204852+-70.535776,2023 17:30 HORAS+01+31+17:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
