item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
146,SI,VIGENTE,TRÁNSITO RESTRINGIDO,11/01/2023,25/01/2023 14:30 HORAS,CUSCO/LA CONVENCION/SANTA ANA,KM 199,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.873069617394,-72.692213162262,-12.873069617394+-72.692213162262,2023 14:30 HORAS+01+25+14:30,0,0,COE-MTC,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
147,SI,VIGENTE,TRÁNSITO RESTRINGIDO,07/01/2023,25/01/2023 14:30 HORAS,CUSCO/LA CONVENCION/SANTA ANA,KM 230,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.880884243624,-72.690784623809,-12.880884243624+-72.690784623809,2023 14:30 HORAS+01+25+14:30,0,1,COE-MTC,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,restringido
161,SI,VIGENTE,TRÁNSITO RESTRINGIDO,19/01/2023,25/01/2023 14:30 HORAS,CUSCO/URUBAMBA/MARAS,KM 44,PUENTE URUBAMBA. PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.312531099811,-72.117755850561,-13.312531099811+-72.117755850561,2023 14:30 HORAS+01+25+14:30,0,0,COE-MTC,HUMANO,PE-28F,CARRETERA POROY - CHINCHERO - URUBAMBA,SI,restringido
137,SI,VIGENTE,TRÁNSITO RESTRINGIDO,10/01/2023,25/01/2023 14:30 HORAS,CUSCO/ESPINAR/ESPINAR,KM 245,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.794379646982,-71.409019289269,-14.794379646982+-71.409019289269,2023 14:30 HORAS+01+25+14:30,0,0,COE-MTC,HUMANO,PE-3SG,CARRETERA CHALHUAHUACHO - ESPINAR - AYAVIRI,SI,restringido
179,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,25/01/2023,25/01/2023 14:30 HORAS,HUANUCO/AMBO/SAN RAFAEL,KM 196,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-10.23384141,-76.15890622,-10.23384141+-76.15890622,2023 14:30 HORAS+01+25+14:30,0,0,UD HUANUCO,HUMANO,PE-3N,LONGITUDINAL DE LA SIERRA NORTE,SI,interrumpido
223,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,24/01/2023,25/01/2023 14:30 HORAS,MADRE DE DIOS/TAHUAMANU/IÑAPARI,KM 653+320,(PUENTE YAVERIJA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-10.96864,-69.567633,-10.96864+-69.567633,2023 14:30 HORAS+01+25+14:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
220,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,25/01/2023 14:30 HORAS,MADRE DE DIOS/TAHUAMANU/IBERIA,KM 597,(SECTOR IBERIA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.4068843,-69.4784365,-11.4068843+-69.4784365,2023 14:30 HORAS+01+25+14:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
235,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,25/01/2023 14:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 511+800,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.931332,-69.11748,-11.931332+-69.11748,2023 14:30 HORAS+01+25+14:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
229,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,23/01/2023,25/01/2023 14:30 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+900,GRUPO DE PERSONAS  PROTESTAN SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.759719,-69.561868,-12.759719+-69.561868,2023 14:30 HORAS+01+25+14:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
228,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,25/01/2023 14:30 HORAS,MADRE DE DIOS/TAMBOPATA/LABERINTO,KM 382+200,(SECTOR LABERINTO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.7637802,-69.5700566,-12.7637802+-69.5700566,2023 14:30 HORAS+01+25+14:30,2,4,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
