item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
223,SI,VIGENTE,TRÁNSITO RESTRINGIDO,08/01/2023,19/01/2023 08:50 HORAS,MADRE DE DIOS/TAMBOPATA/TAMBOPATA,KM 402 Y KM 409,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.6898325,-69.4042951,-12.6898325+-69.4042951,2023 08:50 HORAS+01+19+08:50,0,0,CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
215,SI,VIGENTE,TRÁNSITO RESTRINGIDO,13/01/2023,19/01/2023 08:50 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 265,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.065658,-70.3524946,-13.065658+-70.3524946,2023 08:50 HORAS+01+19+08:50,0,0,CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,restringido
211,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,14/01/2023,19/01/2023 08:50 HORAS,MADRE DE DIOS/TAHUAMANU/TAHUAMANU,KM 548+950,GRUPO DE PERSONAS  PROTESTAN SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.665167,-69.229412,-11.665167+-69.229412,2023 08:50 HORAS+01+19+08:50,0,0,IIRSA SUR / UD MADRE DE DIOS,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
221,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,19/01/2023 08:50 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 511+800,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.931332,-69.11748,-11.931332+-69.11748,2023 08:50 HORAS+01+19+08:50,0,0,CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
190,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,19/01/2023,19/01/2023 08:50 HORAS,JUNIN/HUANCAYO/SAN AGUSTIN,KM 117,(SECTOR QUEBRADA HONDA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.01336883,-75.2450771,-12.01336883+-75.2450771,2023 08:50 HORAS+01+19+08:50,0,0,COMISARIA PNP SAN AGUSTIN DE CAJAS,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
220,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,14/01/2023,19/01/2023 08:50 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 489,(SECTOR ALEGRIA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.1334806,-69.1199462,-12.1334806+-69.1199462,2023 08:50 HORAS+01+19+08:50,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
218,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,16/01/2023,19/01/2023 08:50 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 469+320,GRUPO DE PERSONAS  PROTESTAN SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.2966504,-69.1674238,-12.2966504+-69.1674238,2023 08:50 HORAS+01+19+08:50,0,0,IIRSA SUR / UD MADRE DE DIOS,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
222,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,16/01/2023,19/01/2023 08:50 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 458+210,(SECTOR SUDADERO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.3892965,-69.1434042,-12.3892965+-69.1434042,2023 08:50 HORAS+01+19+08:50,0,0,UD MADRE DE DIOS,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
224,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,16/01/2023,19/01/2023 08:50 HORAS,MADRE DE DIOS/TAMBOPATA/TAMBOPATA,KM 426,(SECTOR PUERTO MALDONADO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.5905762,-69.2221768,-12.5905762+-69.2221768,2023 08:50 HORAS+01+19+08:50,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
160,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,18/01/2023,19/01/2023 08:50 HORAS,HUANCAVELICA/HUANCAVELICA/HUANCAVELICA,KM 219,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.774253,-75.010555,-12.774253+-75.010555,2023 08:50 HORAS+01+19+08:50,0,0,UD. HUANCAVELICA,HUMANO,PE-26,LACHOJ - HUANCAVELICA SECTOR,SI,interrumpido
