item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
241,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,22/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 316,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.9015914,-70.0846561,-12.9015914+-70.0846561,2023 10:30 HORAS+01+28+10:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
240,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 303,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.914703,-70.1976939,-12.914703+-70.1976939,2023 10:30 HORAS+01+28+10:30,2,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
239,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 288-289,(SECTOR SANTA ROSA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.932413,-70.303984,-12.932413+-70.303984,2023 10:30 HORAS+01+28+10:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
238,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,28/01/2023 10:30 HORAS,MADRE DE DIOS/TAMBOPATA/INAMBARI,KM 260,(SECTOR MAZUCO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1063789,-70.3651616,-13.1063789+-70.3651616,2023 10:30 HORAS+01+28+10:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
271,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,20/01/2023,28/01/2023 10:30 HORAS,PUNO/CARABAYA/AYAPATA,KM 248,(SECTOR LOROMAYO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1550229,-70.39724,-13.1550229+-70.39724,2023 10:30 HORAS+01+28+10:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
272,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,17/01/2023,28/01/2023 10:30 HORAS,PUNO/CARABAYA/AYAPATA,KM 352+800,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.1876565,-70.3837431,-13.1876565+-70.3837431,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-34B,CARRETERA INTEROCEANICA SAN GABAN,SI,interrumpido
172,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,26/01/2023,28/01/2023 10:30 HORAS,CUSCO/URUBAMBA/URUBAMBA,KM 76,(SECTOR YANAHUARA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.2739963,-72.1712938,-13.2739963+-72.1712938,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-28B,CARRETERA QUINUA - QUILLABAMBA - CUSCO,SI,interrumpido
124,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,27/01/2023,28/01/2023 10:30 HORAS,CUSCO/ANTA/LIMATAMBO,KM 916+800,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.4398163,-72.36050913,-13.4398163+-72.36050913,2023 10:30 HORAS+01+28+10:30,0,0,CONCESIONARIA SURVIAL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
112,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,27/01/2023,28/01/2023 10:30 HORAS,CUSCO/ANTA/ANCAHUASI,KM 917+500,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.44212743,-72.35215015,-13.44212743+-72.35215015,2023 10:30 HORAS+01+28+10:30,0,0,CONCESIONARIA SURVIAL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
122,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,29/01/2023,28/01/2023 10:30 HORAS,CUSCO/CUSCO/POROY,KM 955,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.49310167,-72.04752473,-13.49310167+-72.04752473,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
