item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
36,SI,VIGENTE,TRÁNSITO RESTRINGIDO,27/01/2023,11/02/2023 06:30 HORAS,APURIMAC/ANDAHUAYLAS/PACOBAMBA,KM 717,(SECTOR CURAMBA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.61401985,-73.13721706,-13.61401985+-73.13721706,2023 06:30 HORAS+02+11+06:30,0,0,DESPRCAR PNP ABANCAY / CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
29,SI,VIGENTE,TRÁNSITO RESTRINGIDO,07/02/2023,11/02/2023 06:30 HORAS,APURIMAC/ABANCAY/PICHIRHUA,KM 765,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.68223922,-72.95762268,-13.68223922+-72.95762268,2023 06:30 HORAS+02+11+06:30,0,0,UNIPRCAR ABANCAY,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
41,SI,VIGENTE,TRÁNSITO RESTRINGIDO,07/01/2023,11/02/2023 06:30 HORAS,APURIMAC/ANDAHUAYLAS/KISHUARA,KM 689,LA VIA SE ENCUENTRA AFECTADA POR DERRUMBE PROVOCADO POR LOS MANIFESTANTES QUIENES CON PICO Y PALA TRAJERON ABAJO PARTE DEL CERRO CERCANO A LA VIA. SOLO CIRCULAN VEHICULOS MENORES,-13.7014497,-73.1694762,-13.7014497+-73.1694762,2023 06:30 HORAS+02+11+06:30,0,0,COMISARIA PNP KISHUARA,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,restringido
28,SI,VIGENTE,TRÁNSITO RESTRINGIDO,20/01/2023,11/02/2023 06:30 HORAS,APURIMAC/ABANCAY/PICHIRHUA,KM 417,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.884221,-73.031517,-13.884221+-73.031517,2023 06:30 HORAS+02+11+06:30,0,0,DESPRCAR PNP ABANCAY/ CEOPOL,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
56,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,11/02/2023 06:30 HORAS,APURIMAC/AYMARAES/TORAYA,KM 377,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.07238288,-73.25490188,-14.07238288+-73.25490188,2023 06:30 HORAS+02+11+06:30,0,0,CEOPOL,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
51,SI,VIGENTE,TRÁNSITO RESTRINGIDO,10/02/2023,11/02/2023 06:30 HORAS,APURIMAC/AYMARAES/SAÑAYCA,KM 365,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.156195,-73.318052,-14.156195+-73.318052,2023 06:30 HORAS+02+11+06:30,0,0,COMISARIA PNP CHALHUANCA,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
52,SI,VIGENTE,TRÁNSITO RESTRINGIDO,05/01/2023,11/02/2023 06:30 HORAS,APURIMAC/AYMARAES/COTARUSE,KM 309,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.500474,-73.258687,-14.500474+-73.258687,2023 06:30 HORAS+02+11+06:30,0,0,CEOPOL,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
50,SI,VIGENTE,TRÁNSITO RESTRINGIDO,19/01/2023,11/02/2023 06:30 HORAS,APURIMAC/AYMARAES/COTARUSE,KM 299 + 500,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.514706,-73.273429,-14.514706+-73.273429,2023 06:30 HORAS+02+11+06:30,0,0,COMISARIA PNP COTARUSE,HUMANO,PE-30A,CARRETERA NASCA - PUQUIO - ABANCAY,SI,restringido
284,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,11/02/2023 06:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 512+800,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.931417,-69.117462,-11.931417+-69.117462,2023 06:30 HORAS+02+11+06:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
286,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,27/01/2023,11/02/2023 06:30 HORAS,MADRE DE DIOS/TAMBOPATA/TAMBOPATA,KM 425-426,(PUENTE MAVILA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-12.5947485,-69.2302721,-12.5947485+-69.2302721,2023 06:30 HORAS+02+11+06:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
