item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
283,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,12/02/2023 12:30 HORAS,MADRE DE DIOS/TAMBOPATA/LAS PIEDRAS,KM 509,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-11.9615033,-69.1322106,-11.9615033+-69.1322106,2023 12:30 HORAS+02+12+12:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
307,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,17/01/2023,12/02/2023 12:30 HORAS,PUNO/CARABAYA/AYAPATA,KM 352+800,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.181234,-70.382396,-13.181234+-70.382396,2023 12:30 HORAS+02+12+12:30,0,0,DESPRCAR PNP JULIACA (SAN GABAN)/CEOPOL,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
59,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,12/02/2023 12:30 HORAS,APURIMAC/CHINCHEROS/CHINCHEROS,KM 543,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.51668418,-73.7268014,-13.51668418+-73.7268014,2023 12:30 HORAS+02+12+12:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
182,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,11/02/2023,12/02/2023 12:30 HORAS,CUSCO/QUISPICANCHI/CCATCA,KM 23,(SECTOR CCATCA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.6084637,-71.5657878,-13.6084637+-71.5657878,2023 12:30 HORAS+02+12+12:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
181,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,11/02/2023,12/02/2023 12:30 HORAS,CUSCO/QUISPICANCHI/CCATCA,KM 28+200,(SECTOR YURACMAYO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.62812391,-71.53926745,-13.62812391+-71.53926745,2023 12:30 HORAS+02+12+12:30,0,0,IIRSA SUR,HUMANO,PE-30C,CARRETERA URCOS - MAZUCO - IÑAPARI,SI,interrumpido
46,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,10/01/2023,12/02/2023 12:30 HORAS,APURIMAC/ANDAHUAYLAS/TALAVERA,KM 632,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-13.65606574,-73.4529822,-13.65606574+-73.4529822,2023 12:30 HORAS+02+12+12:30,0,0,COE-MTC,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
308,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,06/01/2023,12/02/2023 12:30 HORAS,PUNO/CARABAYA/MACUSANI,KM 180,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.0751132,-70.4104037,-14.0751132+-70.4104037,2023 12:30 HORAS+02+12+12:30,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
304,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,05/01/2023,12/02/2023 12:30 HORAS,PUNO/AZANGARO/ASILLO,KM 99+500,(PUENTE PALMERA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.580414,-70.329011,-14.580414+-70.329011,2023 12:30 HORAS+02+12+12:30,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
301,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,12/02/2023 12:30 HORAS,PUNO/AZANGARO/ASILLO,KM 71,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.7665132,-70.3099449,-14.7665132+-70.3099449,2023 12:30 HORAS+02+12+12:30,0,1,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
333,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,12/02/2023 12:30 HORAS,PUNO/LAMPA/PUCARA,KM 1251,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-15.04683526,-70.36483314,-15.04683526+-70.36483314,2023 12:30 HORAS+02+12+12:30,0,0,DESPRCAR PNP JULIACA/CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
